Record_ID,Sale_Date,Year,Quarter,Month_Name,Month_Num,Therapeutic_Area,Product_Name,Formulation,Region,Sales_Channel,Pipeline_Stage,Sales_Rep,Customer_ID,Units_Sold,Unit_Price_INR,Discount_Pct,Gross_Revenue_INR,Discount_Amount_INR,Net_Revenue_INR,COGS_INR,Gross_Profit_INR,Gross_Margin_Pct,RnD_Spend_INR,Marketing_Spend_INR,Clinical_Trial_Spend_INR,Patient_Count,Adverse_Events,Compliance_Rate_Pct
LS00015,2024-09-21,2024,Q3,September,9,Oncology,Immunotherapy Drug A,Tablet,Karnataka,Retail Pharmacy,Market,Rep_011,CUST_0105,256,11426.55,0.1,2925197.41,292519.74,2632677.67,510930.33,2121747.34,80.59,445624.15,391033.94,122472.97,3777,36,83.0
LS00016,2023-03-22,2023,Q1,March,3,Respiratory,COPD Drug K,Inhaler,Rajasthan,Retail Pharmacy,Market,Rep_013,CUST_0076,39,2968.89,0.136,115786.59,15746.98,100039.61,35965.65,64073.96,64.05,12748.2,10846.07,7031.29,4400,40,73.48
LS00017,2023-04-27,2023,Q2,April,4,Oncology,Targeted Therapy B,Injection,Tamil Nadu,Government Hospital,Phase 3,Rep_039,CUST_0018,216,15947.39,0.223,3444635.75,768153.77,2676481.98,639924.58,2036557.4,76.09,528036.41,299600.44,165734.43,4831,144,85.59
LS00018,2022-09-26,2022,Q3,September,9,Cardiology,BP Drug D,Capsule,West Bengal,Retail Pharmacy,Phase 2,Rep_017,CUST_0102,353,2922.22,0.114,1031543.89,117596.0,913947.89,368288.46,545659.43,59.7,220851.36,46548.78,75049.68,4662,25,73.9
LS00019,2023-05-16,2023,Q2,May,5,Diabetes,GLP-1 Drug I,Injection,Gujarat,Retail Pharmacy,Market,Rep_023,CUST_0018,199,6080.73,0.11,1210064.36,133107.08,1076957.28,334257.72,742699.56,68.96,171588.62,159804.66,108460.36,4383,2,89.36
LS00020,2022-08-08,2022,Q3,August,8,Neurology,Alzheimer Drug E,Tablet,Karnataka,Retail Pharmacy,Phase 1,Rep_017,CUST_0030,390,9651.69,0.068,3764158.08,255962.75,3508195.33,1140721.84,2367473.49,67.48,748261.52,246835.68,292666.97,2212,64,84.7
LS00021,2023-11-15,2023,Q4,November,11,Oncology,Targeted Therapy B,Injection,Telangana,Online,Phase 2,Rep_003,CUST_0001,404,16006.43,0.245,6466596.17,1584316.06,4882280.11,1068143.65,3814136.46,78.12,866305.03,588640.62,371496.05,966,2,96.57
LS00022,2022-10-31,2022,Q4,October,10,Diabetes,GLP-1 Drug I,Injection,Maharashtra,Online,Phase 1,Rep_038,CUST_0142,230,5773.52,0.077,1327909.32,102249.02,1225660.3,485061.88,740598.42,60.42,273930.05,166775.91,134690.83,1770,43,78.49
LS00023,2023-04-30,2023,Q2,April,4,Neurology,Parkinson Drug F,Patch,Telangana,Corporate Hospital,Phase 2,Rep_048,CUST_0040,452,6471.0,0.2,2924893.73,584978.75,2339914.98,520613.69,1819301.29,77.75,406205.2,158964.62,263120.47,3422,102,89.42
LS00024,2024-08-21,2024,Q3,August,8,Neurology,Alzheimer Drug E,Tablet,Tamil Nadu,Government Hospital,Phase 1,Rep_025,CUST_0010,123,8643.78,0.23,1063185.26,244532.61,818652.65,216057.19,602595.46,73.61,185563.77,112263.72,34622.75,1632,25,80.53
LS00025,2023-11-10,2023,Q4,November,11,Neurology,Alzheimer Drug E,Tablet,West Bengal,Corporate Hospital,Phase 3,Rep_026,CUST_0174,490,8153.66,0.219,3995294.15,874969.42,3120324.73,757276.75,2363047.98,75.73,609950.67,462915.95,74343.98,4937,111,80.99
LS00026,2023-06-06,2023,Q2,June,6,Infectious Disease,Antiviral Drug G,Tablet,Karnataka,Specialty Clinic,Phase 3,Rep_037,CUST_0049,32,3294.17,0.0,105413.45,0.0,105413.45,42390.76,63022.69,59.79,20028.42,12854.43,9929.42,1664,23,83.21
LS00027,2024-11-04,2024,Q4,November,11,Diabetes,Insulin Analog J,Pen,West Bengal,Government Hospital,Phase 2,Rep_047,CUST_0077,168,3570.23,0.082,599798.77,49183.5,550615.27,191245.21,359370.06,65.27,105758.67,38093.77,47624.34,3155,86,91.45
LS00028,2023-09-15,2023,Q3,September,9,Diabetes,Insulin Analog J,Pen,Gujarat,Specialty Clinic,Phase 2,Rep_036,CUST_0001,156,3104.39,0.196,484284.27,94919.72,389364.55,126776.62,262587.93,67.44,63035.16,36669.81,34093.82,4237,121,92.64
LS00029,2023-11-18,2023,Q4,November,11,Respiratory,COPD Drug K,Inhaler,Karnataka,Online,Phase 1,Rep_033,CUST_0170,57,3177.03,0.188,181090.62,34045.04,147045.58,50211.8,96833.78,65.85,21939.68,10280.4,3300.08,2055,30,87.89
LS00030,2024-02-26,2024,Q1,February,2,Infectious Disease,Antibiotic H,Injection,Telangana,Corporate Hospital,Market,Rep_013,CUST_0184,263,1745.81,0.037,459148.7,16988.5,442160.2,152558.26,289601.94,65.5,104370.05,60153.27,47994.95,3532,28,76.57
LS00031,2024-07-23,2024,Q3,July,7,Infectious Disease,Antibiotic H,Injection,Maharashtra,Corporate Hospital,Market,Rep_016,CUST_0032,78,1962.76,0.167,153095.67,25566.98,127528.69,53191.48,74337.21,58.29,25175.29,18492.17,13918.81,4185,54,93.59
LS00032,2023-05-22,2023,Q2,May,5,Infectious Disease,Antibiotic H,Injection,Tamil Nadu,Specialty Clinic,Phase 3,Rep_029,CUST_0067,440,1874.34,0.191,824708.36,157519.3,667189.06,203567.36,463621.7,69.49,134423.45,51680.29,18513.39,2390,30,79.06
LS00033,2024-02-24,2024,Q1,February,2,Diabetes,GLP-1 Drug I,Injection,Karnataka,Retail Pharmacy,Market,Rep_010,CUST_0060,365,5822.97,0.053,2125384.15,112645.36,2012738.79,562697.95,1450040.84,72.04,328105.77,194415.33,52787.24,3491,49,95.53
LS00034,2022-01-13,2022,Q1,January,1,Respiratory,Asthma Drug L,Inhaler,Maharashtra,Corporate Hospital,Phase 3,Rep_025,CUST_0123,492,2006.61,0.188,987251.16,185603.22,801647.94,308496.18,493151.76,61.52,195558.76,73673.15,75957.4,4523,56,84.69
LS00035,2024-04-08,2024,Q2,April,4,Infectious Disease,Antiviral Drug G,Tablet,Rajasthan,Government Hospital,Approved,Rep_025,CUST_0087,380,2788.49,0.117,1059626.81,123976.34,935650.47,197076.69,738573.78,78.94,187966.01,49305.64,55579.53,4673,6,74.18
LS00036,2024-02-16,2024,Q1,February,2,Cardiology,Heart Drug C,Tablet,Rajasthan,Retail Pharmacy,Market,Rep_004,CUST_0067,177,3836.69,0.082,679094.48,55685.75,623408.73,226107.31,397301.42,63.73,105534.62,78051.39,64331.06,2116,10,84.23
LS00037,2022-03-24,2022,Q1,March,3,Oncology,Immunotherapy Drug A,Tablet,West Bengal,Retail Pharmacy,Approved,Rep_042,CUST_0018,396,10741.36,0.062,4253579.55,263721.93,3989857.62,1521791.24,2468066.38,61.86,801058.22,294668.92,268741.27,987,18,96.64
LS00038,2022-08-23,2022,Q3,August,8,Respiratory,Asthma Drug L,Inhaler,Gujarat,Online,Phase 2,Rep_011,CUST_0156,408,2301.16,0.241,938873.17,226268.43,712604.74,146756.46,565848.28,79.41,87891.38,57860.46,62520.18,3124,50,96.48
LS00039,2023-09-10,2023,Q3,September,9,Oncology,Targeted Therapy B,Injection,Delhi NCR,Government Hospital,Phase 3,Rep_045,CUST_0198,445,18995.0,0.201,8452774.47,1699007.67,6753766.8,2506285.93,4247480.87,62.89,1307334.96,365425.47,494879.05,3085,8,85.15
LS00040,2024-01-12,2024,Q1,January,1,Oncology,Immunotherapy Drug A,Tablet,Telangana,Specialty Clinic,Market,Rep_007,CUST_0111,335,13968.41,0.115,4679416.11,538132.85,4141283.26,897490.11,3243793.15,78.33,591780.29,423134.27,352198.51,4458,123,84.09
LS00041,2024-07-12,2024,Q3,July,7,Neurology,Alzheimer Drug E,Tablet,West Bengal,Retail Pharmacy,Phase 3,Rep_006,CUST_0072,134,10213.86,0.142,1368656.89,194349.28,1174307.61,399693.48,774614.13,65.96,192271.22,116762.17,61652.81,4044,27,81.23
LS00042,2022-01-21,2022,Q1,January,1,Neurology,Parkinson Drug F,Patch,Gujarat,Corporate Hospital,Phase 1,Rep_045,CUST_0071,274,8167.82,0.021,2237981.36,46997.61,2190983.75,773018.33,1417965.42,64.72,402078.65,275661.83,195131.06,4070,57,92.62
LS00043,2023-09-20,2023,Q3,September,9,Neurology,Alzheimer Drug E,Tablet,Delhi NCR,Specialty Clinic,Phase 2,Rep_045,CUST_0063,349,9732.43,0.118,3396619.26,400801.07,2995818.19,920978.21,2074839.98,69.26,525213.35,373259.6,159015.42,3767,34,79.97
LS00044,2023-01-15,2023,Q1,January,1,Oncology,Targeted Therapy B,Injection,Delhi NCR,Online,Phase 2,Rep_008,CUST_0191,108,16468.48,0.121,1778595.52,215210.06,1563385.46,553282.74,1010102.72,64.61,386091.97,160190.24,75511.31,873,26,77.05
LS00045,2024-12-29,2024,Q4,December,12,Neurology,Parkinson Drug F,Patch,Tamil Nadu,Online,Market,Rep_001,CUST_0182,74,6712.51,0.244,496725.92,121201.12,375524.8,117466.47,258058.33,68.72,79109.65,23518.35,40123.37,4071,13,94.69
LS00046,2023-01-13,2023,Q1,January,1,Neurology,Alzheimer Drug E,Tablet,Rajasthan,Specialty Clinic,Market,Rep_029,CUST_0088,36,8794.56,0.215,316604.28,68069.92,248534.36,51541.28,196993.08,79.26,31935.33,24648.31,19311.65,489,2,75.88
LS00047,2024-05-02,2024,Q2,May,5,Neurology,Alzheimer Drug E,Tablet,Karnataka,Retail Pharmacy,Market,Rep_008,CUST_0143,320,9773.96,0.155,3127667.68,484788.49,2642879.19,967733.69,1675145.5,63.38,447833.61,372250.69,131444.42,4871,109,79.94
LS00048,2023-06-26,2023,Q2,June,6,Oncology,Immunotherapy Drug A,Tablet,Karnataka,Retail Pharmacy,Phase 3,Rep_041,CUST_0055,348,10929.45,0.06,3803449.64,228206.98,3575242.66,1117185.17,2458057.49,68.75,501782.59,324817.08,317971.76,3899,37,72.85
LS00049,2023-04-24,2023,Q2,April,4,Respiratory,Asthma Drug L,Inhaler,Gujarat,Specialty Clinic,Phase 3,Rep_005,CUST_0176,483,1951.67,0.198,942656.33,186645.95,756010.38,243094.76,512915.62,67.85,169730.18,52755.86,23797.42,1891,41,75.87
LS00050,2023-08-15,2023,Q3,August,8,Cardiology,Heart Drug C,Tablet,Karnataka,Government Hospital,Approved,Rep_011,CUST_0079,234,3726.69,0.172,872044.43,149991.64,722052.79,251228.22,470824.57,65.21,175132.4,72239.37,50095.68,708,19,73.04
LS00051,2022-07-07,2022,Q3,July,7,Respiratory,Asthma Drug L,Inhaler,West Bengal,Corporate Hospital,Phase 2,Rep_017,CUST_0007,127,2391.0,0.209,303657.51,63464.42,240193.09,76392.88,163800.21,68.2,58511.57,36018.69,20951.6,2257,5,91.84
LS00052,2024-06-11,2024,Q2,June,6,Infectious Disease,Antibiotic H,Injection,Rajasthan,Online,Approved,Rep_012,CUST_0150,335,1969.69,0.242,659846.91,159682.95,500163.96,146449.26,353714.7,70.72,86571.01,41066.37,15234.99,1367,21,82.7
LS00053,2022-06-30,2022,Q2,June,6,Neurology,Alzheimer Drug E,Tablet,Telangana,Corporate Hospital,Phase 2,Rep_003,CUST_0117,171,8794.34,0.029,1503831.58,43611.12,1460220.46,533581.35,926639.11,63.46,339411.27,193468.58,29372.49,4494,118,82.74
LS00054,2024-06-24,2024,Q2,June,6,Diabetes,GLP-1 Drug I,Injection,West Bengal,Corporate Hospital,Phase 3,Rep_049,CUST_0128,399,5625.64,0.067,2244631.54,150390.31,2094241.23,442813.01,1651428.22,78.86,329725.27,289182.59,143395.17,286,3,90.45
LS00055,2023-04-06,2023,Q2,April,4,Diabetes,GLP-1 Drug I,Injection,Maharashtra,Corporate Hospital,Approved,Rep_027,CUST_0024,440,7305.21,0.115,3214293.84,369643.79,2844650.05,592233.03,2252417.02,79.18,649088.3,284002.89,260741.57,4218,90,79.11
LS00056,2024-02-25,2024,Q1,February,2,Infectious Disease,Antibiotic H,Injection,Delhi NCR,Specialty Clinic,Market,Rep_036,CUST_0038,107,2027.81,0.127,216975.54,27555.89,189419.65,74070.34,115349.31,60.9,44006.64,14703.65,18752.66,3449,43,96.29
LS00057,2024-09-29,2024,Q3,September,9,Neurology,Alzheimer Drug E,Tablet,Maharashtra,Online,Phase 2,Rep_047,CUST_0077,453,8498.5,0.135,3849819.11,519725.58,3330093.53,875247.64,2454845.89,73.72,638542.98,347471.97,218235.89,2686,24,97.5
LS00058,2022-03-31,2022,Q1,March,3,Diabetes,Insulin Analog J,Pen,Telangana,Retail Pharmacy,Phase 2,Rep_050,CUST_0106,172,3649.6,0.176,627731.07,110480.67,517250.4,193833.45,323416.95,62.53,88030.97,60191.85,52798.21,1296,31,97.09
LS00059,2024-12-13,2024,Q4,December,12,Diabetes,GLP-1 Drug I,Injection,West Bengal,Government Hospital,Approved,Rep_029,CUST_0026,476,6416.01,0.181,3054020.64,552777.74,2501242.9,696333.19,1804909.71,72.16,513058.88,163671.64,167455.86,2221,43,88.2
LS00060,2024-02-18,2024,Q1,February,2,Respiratory,COPD Drug K,Inhaler,Karnataka,Online,Approved,Rep_044,CUST_0137,498,2740.5,0.18,1364766.61,245657.99,1119108.62,405404.3,713704.32,63.77,261210.91,59972.93,30039.2,2404,29,91.42
LS00061,2023-09-06,2023,Q3,September,9,Oncology,Targeted Therapy B,Injection,Karnataka,Specialty Clinic,Phase 2,Rep_011,CUST_0178,472,15456.32,0.081,7295380.75,590925.84,6704454.91,1297101.6,5407353.31,80.65,1116963.76,623974.76,297810.17,3425,72,89.73
LS00062,2023-05-09,2023,Q2,May,5,Cardiology,Heart Drug C,Tablet,Tamil Nadu,Government Hospital,Market,Rep_040,CUST_0098,264,4720.16,0.036,1246123.44,44860.44,1201263.0,349178.3,852084.7,70.93,183813.73,90734.6,25154.14,3861,115,79.48
LS00063,2023-09-05,2023,Q3,September,9,Cardiology,Heart Drug C,Tablet,Karnataka,Specialty Clinic,Phase 3,Rep_023,CUST_0151,337,4782.16,0.173,1611586.78,278804.51,1332782.27,386027.85,946754.42,71.04,212279.99,199833.85,140386.68,923,7,81.92
LS00064,2024-03-21,2024,Q1,March,3,Diabetes,Insulin Analog J,Pen,Gujarat,Online,Phase 3,Rep_002,CUST_0169,150,2898.26,0.216,434738.99,93903.62,340835.37,125016.64,215818.73,63.32,84039.22,48078.82,32214.81,2394,29,87.78
LS00065,2022-10-08,2022,Q4,October,10,Cardiology,BP Drug D,Capsule,Delhi NCR,Corporate Hospital,Phase 3,Rep_017,CUST_0174,331,2461.62,0.157,814795.46,127922.89,686872.57,130135.85,556736.72,81.05,152842.45,36635.35,38798.77,1126,5,95.65
LS00066,2024-01-20,2024,Q1,January,1,Respiratory,Asthma Drug L,Inhaler,Telangana,Retail Pharmacy,Approved,Rep_013,CUST_0034,281,2101.13,0.068,590417.73,40148.41,550269.32,120778.98,429490.34,78.05,131418.82,79469.22,64237.56,2467,43,92.91
LS00067,2024-03-24,2024,Q1,March,3,Oncology,Targeted Therapy B,Injection,Tamil Nadu,Retail Pharmacy,Phase 3,Rep_044,CUST_0186,443,19644.77,0.091,8702634.56,791939.74,7910694.82,2925087.57,4985607.25,63.02,963597.19,820000.72,517981.24,2197,48,93.38
LS00068,2023-11-03,2023,Q4,November,11,Oncology,Targeted Therapy B,Injection,Delhi NCR,Specialty Clinic,Phase 1,Rep_002,CUST_0159,478,18594.44,0.162,8888144.16,1439879.35,7448264.81,2476525.27,4971739.54,66.75,1343330.16,894594.08,632536.03,1005,4,73.18
LS00069,2022-10-05,2022,Q4,October,10,Neurology,Alzheimer Drug E,Tablet,Rajasthan,Government Hospital,Approved,Rep_007,CUST_0061,208,9367.88,0.168,1948520.02,327351.36,1621168.66,580951.67,1040216.99,64.16,393906.1,149005.95,152757.7,1315,26,89.03
LS00070,2024-01-29,2024,Q1,January,1,Diabetes,Insulin Analog J,Pen,Telangana,Online,Phase 2,Rep_003,CUST_0177,121,3342.25,0.238,404412.34,96250.14,308162.2,118737.38,189424.82,61.47,40959.72,36538.18,22941.62,2988,7,82.35
LS00071,2022-02-13,2022,Q1,February,2,Oncology,Targeted Therapy B,Injection,Rajasthan,Government Hospital,Phase 2,Rep_043,CUST_0055,35,19548.69,0.061,684204.18,41736.45,642467.73,135060.68,507407.05,78.98,124250.13,36531.37,62008.25,1747,37,77.61
LS00072,2022-10-24,2022,Q4,October,10,Neurology,Parkinson Drug F,Patch,Tamil Nadu,Corporate Hospital,Phase 2,Rep_001,CUST_0071,76,7286.87,0.2,553801.77,110760.35,443041.42,91435.92,351605.5,79.36,103068.37,27991.5,24732.45,1999,37,80.42
LS00073,2024-12-13,2024,Q4,December,12,Neurology,Alzheimer Drug E,Tablet,Maharashtra,Retail Pharmacy,Market,Rep_048,CUST_0108,68,10200.15,0.119,693609.93,82539.58,611070.35,224094.22,386976.13,63.33,114099.63,37217.48,43009.5,405,11,92.36
LS00074,2024-04-02,2024,Q2,April,4,Neurology,Alzheimer Drug E,Tablet,Rajasthan,Government Hospital,Market,Rep_004,CUST_0123,228,10030.38,0.123,2286926.15,281291.92,2005634.23,798900.67,1206733.56,60.17,259837.52,116485.33,162114.9,588,4,79.15
LS00075,2023-08-27,2023,Q3,August,8,Diabetes,GLP-1 Drug I,Injection,West Bengal,Specialty Clinic,Phase 2,Rep_039,CUST_0136,242,6510.82,0.108,1575619.55,170166.91,1405452.64,520499.63,884953.01,62.97,189558.78,162289.44,151466.5,4566,55,83.18
LS00076,2022-07-14,2022,Q3,July,7,Infectious Disease,Antiviral Drug G,Tablet,West Bengal,Specialty Clinic,Phase 3,Rep_026,CUST_0107,170,3031.89,0.166,515421.39,85559.95,429861.44,115990.48,313870.96,73.02,60113.14,61168.64,11483.03,749,2,83.23
LS00077,2023-11-07,2023,Q4,November,11,Cardiology,Heart Drug C,Tablet,Maharashtra,Corporate Hospital,Market,Rep_036,CUST_0144,353,3724.01,0.088,1314576.03,115682.69,1198893.34,407242.16,791651.18,66.03,260803.6,164019.66,110425.35,2406,39,81.14
LS00078,2023-04-05,2023,Q2,April,4,Diabetes,GLP-1 Drug I,Injection,Delhi NCR,Retail Pharmacy,Phase 3,Rep_043,CUST_0124,443,5736.03,0.211,2541059.45,536163.54,2004895.91,537742.46,1467153.45,73.18,439350.35,215345.87,201937.4,4645,6,87.83
LS00079,2023-09-25,2023,Q3,September,9,Oncology,Immunotherapy Drug A,Tablet,Tamil Nadu,Online,Phase 2,Rep_045,CUST_0196,481,11899.34,0.002,5723583.72,11447.17,5712136.55,2220690.47,3491446.08,61.12,1105993.83,514540.32,195283.47,301,1,91.4
LS00080,2024-01-28,2024,Q1,January,1,Infectious Disease,Antiviral Drug G,Tablet,Telangana,Specialty Clinic,Approved,Rep_022,CUST_0041,169,3306.08,0.194,558728.24,108393.28,450334.96,142406.03,307928.93,68.38,59013.88,24885.91,16095.42,457,10,74.12
LS00081,2024-04-28,2024,Q2,April,4,Respiratory,COPD Drug K,Inhaler,Telangana,Specialty Clinic,Approved,Rep_039,CUST_0114,149,2652.54,0.128,395229.2,50589.34,344639.86,90585.65,254054.21,73.72,46325.0,40606.08,27334.57,4366,78,73.18
LS00082,2023-03-09,2023,Q1,March,3,Diabetes,Insulin Analog J,Pen,Maharashtra,Government Hospital,Market,Rep_014,CUST_0078,402,3029.98,0.064,1218051.76,77955.31,1140096.45,294999.23,845097.22,74.13,137957.24,142171.64,42832.83,3164,68,90.3
LS00083,2022-03-28,2022,Q1,March,3,Diabetes,GLP-1 Drug I,Injection,West Bengal,Government Hospital,Phase 1,Rep_026,CUST_0190,233,5561.55,0.23,1295840.22,298043.25,997796.97,386054.04,611742.93,61.31,194419.43,107103.49,90749.53,3471,37,74.99
LS00084,2024-01-12,2024,Q1,January,1,Neurology,Parkinson Drug F,Patch,Tamil Nadu,Corporate Hospital,Phase 2,Rep_030,CUST_0177,55,7063.3,0.026,388481.36,10100.52,378380.84,107672.95,270707.89,71.54,65103.63,21894.9,40506.59,2831,28,80.66
LS00085,2023-12-17,2023,Q4,December,12,Oncology,Targeted Therapy B,Injection,Karnataka,Corporate Hospital,Phase 1,Rep_033,CUST_0050,189,19227.85,0.205,3634063.12,744982.94,2889080.18,1085164.17,1803916.01,62.44,435427.58,186762.92,114775.01,4984,39,91.77
LS00086,2024-07-08,2024,Q3,July,7,Cardiology,Heart Drug C,Tablet,Rajasthan,Specialty Clinic,Approved,Rep_049,CUST_0145,358,4734.43,0.141,1694927.5,238984.78,1455942.72,484059.6,971883.12,66.75,292917.96,198626.53,120438.12,1286,28,73.78
LS00087,2023-12-22,2023,Q4,December,12,Respiratory,COPD Drug K,Inhaler,Gujarat,Online,Approved,Rep_038,CUST_0015,269,2529.55,0.115,680447.84,78251.5,602196.34,113830.61,488365.73,81.1,101130.38,47397.49,50865.51,789,19,87.45
LS00088,2023-01-21,2023,Q1,January,1,Infectious Disease,Antibiotic H,Injection,Maharashtra,Specialty Clinic,Phase 1,Rep_037,CUST_0167,174,1856.7,0.125,323066.35,40383.29,282683.06,115858.6,166824.46,59.01,50478.15,37058.81,29324.9,740,16,88.8
LS00089,2022-11-22,2022,Q4,November,11,Cardiology,BP Drug D,Capsule,Rajasthan,Specialty Clinic,Market,Rep_034,CUST_0134,196,2693.2,0.071,527866.35,37478.51,490387.84,136379.14,354008.7,72.19,80417.59,53838.99,48510.49,2791,8,80.57
LS00090,2022-11-04,2022,Q4,November,11,Respiratory,COPD Drug K,Inhaler,Telangana,Online,Approved,Rep_017,CUST_0186,180,2535.91,0.166,456463.21,75772.89,380690.32,152283.42,228406.9,60.0,61036.13,44009.88,32820.65,1106,5,80.05
LS00091,2024-12-14,2024,Q4,December,12,Respiratory,COPD Drug K,Inhaler,West Bengal,Retail Pharmacy,Phase 2,Rep_043,CUST_0180,57,3027.04,0.106,172541.37,18289.39,154251.98,41160.4,113091.58,73.32,25781.32,10493.19,6389.0,4033,24,77.89
LS00092,2024-12-14,2024,Q4,December,12,Cardiology,Heart Drug C,Tablet,Karnataka,Online,Phase 3,Rep_007,CUST_0130,29,4404.03,0.219,127716.89,27970.0,99746.89,32749.65,66997.24,67.17,19714.18,6525.97,3798.82,1406,28,73.14
LS00093,2024-07-08,2024,Q3,July,7,Respiratory,COPD Drug K,Inhaler,Delhi NCR,Specialty Clinic,Phase 3,Rep_040,CUST_0073,129,2929.59,0.077,377917.07,29099.61,348817.46,130482.05,218335.41,62.59,63126.2,46571.09,19807.28,4722,112,84.0
LS00094,2022-10-11,2022,Q4,October,10,Infectious Disease,Antiviral Drug G,Tablet,Telangana,Retail Pharmacy,Phase 2,Rep_013,CUST_0155,456,2867.5,0.16,1307581.36,209213.02,1098368.34,428130.87,670237.47,61.02,210985.9,66186.55,114877.5,1071,18,74.18
LS00095,2022-07-07,2022,Q3,July,7,Neurology,Alzheimer Drug E,Tablet,Rajasthan,Corporate Hospital,Phase 1,Rep_010,CUST_0112,494,10669.94,0.204,5270949.92,1075273.78,4195676.14,1646010.51,2549665.63,60.77,1010995.79,383861.11,250252.77,3113,30,82.04
